gpu_type,model_size,batch_size,learning_rate,seq_length,run_id,training_time_hrs,energy_kwh,efficiency_tok_per_watt
A100,7B,512,1e-05,1024,3,1.4903,0.5555,1190.7217
A100,7B,512,1e-05,2048,1,2.3057,0.8637,837.8097
A100,7B,512,1e-05,2048,2,2.2608,0.8995,788.7691
A100,7B,512,1e-05,2048,3,2.147,0.8114,830.4197
A100,7B,512,1e-05,4096,1,3.1406,1.2363,563.7396
A100,7B,512,1e-05,4096,2,3.1657,1.2671,554.4213
A100,7B,512,1e-05,4096,3,3.38,1.3423,558.7973
A100,7B,512,5e-05,512,1,0.8745,0.3179,1726.7646
A100,7B,512,5e-05,512,2,0.9318,0.3506,1668.0364
A100,7B,512,5e-05,512,3,0.9601,0.3509,1717.6621
A100,7B,512,5e-05,1024,1,1.3988,0.508,1222.198
A100,7B,512,5e-05,1024,2,1.2617,0.4619,1212.3098
A100,7B,512,5e-05,1024,3,1.278,0.4614,1229.3852
A100,7B,512,5e-05,2048,1,1.9019,0.7463,799.7262
A100,7B,512,5e-05,2048,2,1.7078,0.6541,819.3584
A100,7B,512,5e-05,2048,3,1.8722,0.7582,774.9105
A100,7B,512,5e-05,4096,1,2.8671,1.2471,510.1864
A100,7B,512,5e-05,4096,2,2.6609,1.0327,571.758
A100,7B,512,5e-05,4096,3,2.3289,0.9391,550.3646
A100,7B,512,0.0001,512,1,0.8491,0.3032,1757.9571
A100,7B,512,0.0001,512,2,0.858,0.3089,1743.4154
A100,7B,512,0.0001,512,3,0.9323,0.3387,1727.9107
A100,7B,512,0.0001,1024,1,1.2418,0.4531,1216.4041
A100,7B,512,0.0001,1024,2,1.1469,0.4256,1196.0605
A100,7B,512,0.0001,1024,3,1.2484,0.495,1119.2483
A100,7B,512,0.0001,2048,1,1.7818,0.7247,771.6449
A100,7B,512,0.0001,2048,2,1.726,0.6576,823.6749
A100,7B,512,0.0001,2048,3,1.6848,0.6511,812.0626
A100,7B,512,0.0001,4096,1,2.7699,1.0807,568.8009
A100,7B,512,0.0001,4096,2,2.6084,1.0151,570.231
A100,7B,512,0.0001,4096,3,2.6201,1.0601,548.4509
A100,7B,512,0.0005,512,1,1.0065,0.3634,1738.1772
A100,7B,512,0.0005,512,2,0.9812,0.3595,1713.1263
A100,7B,512,0.0005,512,3,0.9913,0.3452,1802.3197
A100,7B,512,0.0005,1024,1,1.3429,0.5083,1172.5399
A100,7B,512,0.0005,1024,2,1.5479,0.5857,1172.9809
A100,7B,512,0.0005,1024,3,1.4261,0.5416,1168.5905
A100,7B,512,0.0005,2048,1,2.1613,0.8595,789.2006
A100,7B,512,0.0005,2048,2,1.9872,0.8111,768.8767
A100,7B,512,0.0005,2048,3,2.0723,0.8564,759.4068
A100,7B,512,0.0005,4096,1,2.8955,1.1157,575.9414
A100,7B,512,0.0005,4096,2,2.6729,1.1221,528.6041
A100,7B,512,0.0005,4096,3,3.1165,1.2399,557.7887
A100,7B,1024,1e-05,512,1,0.602,0.2419,2815.3428
A100,7B,1024,1e-05,512,2,0.5798,0.2172,3019.8346
A100,7B,1024,1e-05,512,3,0.6336,0.241,2973.9833
A100,7B,1024,1e-05,1024,1,0.8678,0.3454,2009.8549
A100,7B,1024,1e-05,1024,2,0.8827,0.368,1918.9724
A100,7B,1024,1e-05,1024,3,0.872,0.3555,1962.0959
A100,7B,1024,1e-05,2048,1,1.1018,0.4401,1416.2835
A100,7B,1024,1e-05,2048,2,1.1759,0.4531,1467.8859
A100,7B,1024,1e-05,2048,3,1.1737,0.4648,1428.5328
A100,7B,1024,1e-05,4096,1,1.8156,0.6973,1041.4408
A100,7B,1024,1e-05,4096,2,1.7388,0.6854,1014.7392
A100,7B,1024,1e-05,4096,3,1.7077,0.7036,970.7958
A100,7B,1024,5e-05,512,1,0.5251,0.2103,2825.4156
A100,7B,1024,5e-05,512,2,0.5074,0.1913,3001.4417
A100,7B,1024,5e-05,512,3,0.5056,0.1961,2917.5519
A100,7B,1024,5e-05,1024,1,0.7295,0.2823,2067.2511
A100,7B,1024,5e-05,1024,2,0.7264,0.2925,1986.3994
A100,7B,1024,5e-05,1024,3,0.8141,0.344,1893.3919
A100,7B,1024,5e-05,2048,1,0.979,0.3882,1426.5122
A100,7B,1024,5e-05,2048,2,0.9478,0.3724,1439.7273
A100,7B,1024,5e-05,2048,3,1.0388,0.4305,1364.8397
A100,7B,1024,5e-05,4096,1,1.3935,0.5465,1020.0172
A100,7B,1024,5e-05,4096,2,1.291,0.5139,1004.9039
A100,7B,1024,5e-05,4096,3,1.3694,0.5391,1016.1395
A100,7B,1024,0.0001,512,1,0.4695,0.1802,2947.1109
A100,7B,1024,0.0001,512,2,0.4479,0.1648,3074.0708
A100,7B,1024,0.0001,512,3,0.5433,0.2011,3056.8401
A100,7B,1024,0.0001,1024,1,0.6564,0.277,1895.5416
A100,7B,1024,0.0001,1024,2,0.7953,0.3069,2072.8546
A100,7B,1024,0.0001,1024,3,0.6817,0.2755,1979.7145
A100,7B,1024,0.0001,2048,1,1.067,0.4142,1457.3597
A100,7B,1024,0.0001,2048,2,0.97,0.3971,1381.9855
A100,7B,1024,0.0001,2048,3,1.0034,0.3968,1430.3547
A100,7B,1024,0.0001,4096,1,1.3796,0.5291,1043.0214
A100,7B,1024,0.0001,4096,2,1.3723,0.5446,1008.056
A100,7B,1024,0.0001,4096,3,1.405,0.5526,1016.9421
A100,7B,1024,0.0005,512,1,0.5761,0.2285,2852.125
A100,7B,1024,0.0005,512,2,0.5672,0.2206,2908.0886
A100,7B,1024,0.0005,512,3,0.5643,0.2172,2938.7693
A100,7B,1024,0.0005,1024,1,0.7672,0.3098,1981.189
A100,7B,1024,0.0005,1024,2,0.792,0.3367,1881.8304
A100,7B,1024,0.0005,1024,3,0.8585,0.3474,1977.1141
A100,7B,1024,0.0005,2048,1,1.0826,0.4186,1463.0386
A100,7B,1024,0.0005,2048,2,1.1926,0.4808,1403.1532
A100,7B,1024,0.0005,2048,3,1.1526,0.4369,1492.3179
A100,7B,1024,0.0005,4096,1,1.6656,0.6753,986.5507
A100,7B,1024,0.0005,4096,2,1.5034,0.5929,1014.3487
A100,7B,1024,0.0005,4096,3,1.6128,0.6461,998.4285
A100,7B,2048,1e-05,512,1,0.3356,0.1338,5114.1201
A100,7B,2048,1e-05,512,2,0.3362,0.1351,5075.0148
A100,7B,2048,1e-05,512,3,0.3656,0.135,5523.5549
A100,7B,2048,1e-05,1024,1,0.4759,0.1914,3586.0126
A100,7B,2048,1e-05,1024,2,0.4887,0.1933,3645.6783
A100,7B,2048,1e-05,1024,3,0.4393,0.1774,3569.8748
A100,7B,2048,1e-05,2048,1,0.7399,0.2823,2672.0792
A100,7B,2048,1e-05,2048,2,0.7105,0.2814,2574.4948
A100,7B,2048,1e-05,2048,3,0.679,0.263,2632.2665
A100,7B,2048,1e-05,4096,1,0.9471,0.3936,1734.8399
A100,7B,2048,1e-05,4096,2,0.9912,0.4171,1713.4538
A100,7B,2048,1e-05,4096,3,1.0199,0.4133,1779.066
A100,7B,2048,5e-05,512,1,0.3084,0.125,5031.9725
A100,7B,2048,5e-05,512,2,0.2954,0.1171,5144.0094
A100,7B,2048,5e-05,512,3,0.2846,0.1115,5207.1911
A100,7B,2048,5e-05,1024,1,0.421,0.1625,3737.1052
A100,7B,2048,5e-05,1024,2,0.4169,0.1658,3625.7394
A100,7B,2048,5e-05,1024,3,0.4247,0.1737,3525.5843
A100,7B,2048,5e-05,2048,1,0.619,0.253,2494.4352
A100,7B,2048,5e-05,2048,2,0.5228,0.2087,2554.2517
A100,7B,2048,5e-05,2048,3,0.5341,0.2103,2589.382
A100,7B,2048,5e-05,4096,1,0.863,0.3518,1768.6733
A100,7B,2048,5e-05,4096,2,0.7743,0.3003,1859.0371
A100,7B,2048,5e-05,4096,3,0.8037,0.3097,1870.7784
A100,7B,2048,0.0001,512,1,0.2633,0.1063,5050.9641
A100,7B,2048,0.0001,512,2,0.2882,0.1174,5006.804
A100,7B,2048,0.0001,512,3,0.2412,0.0974,5052.1117
A100,7B,2048,0.0001,1024,1,0.3867,0.1566,3560.7886
A100,7B,2048,0.0001,1024,2,0.4164,0.1563,3842.8642
A100,7B,2048,0.0001,1024,3,0.3739,0.1522,3542.2084
A100,7B,2048,0.0001,2048,1,0.5018,0.2096,2441.0359
A100,7B,2048,0.0001,2048,2,0.5549,0.2276,2485.9834
A100,7B,2048,0.0001,2048,3,0.5293,0.2169,2488.3728
A100,7B,2048,0.0001,4096,1,0.8117,0.3269,1789.9954
A100,7B,2048,0.0001,4096,2,0.7796,0.3144,1787.9997
A100,7B,2048,0.0001,4096,3,0.7373,0.2936,1810.514
A100,7B,2048,0.0005,512,1,0.3098,0.1254,5040.2702
A100,7B,2048,0.0005,512,2,0.3278,0.127,5265.4527
A100,7B,2048,0.0005,512,3,0.3103,0.1296,4881.2997
A100,7B,2048,0.0005,1024,1,0.4251,0.1659,3696.1773
A100,7B,2048,0.0005,1024,2,0.446,0.1829,3515.9377
A100,7B,2048,0.0005,1024,3,0.4418,0.1838,3466.7852
A100,7B,2048,0.0005,2048,1,0.6512,0.2671,2486.33
A100,7B,2048,0.0005,2048,2,0.6417,0.2746,2382.7358
A100,7B,2048,0.0005,2048,3,0.618,0.2324,2712.136
A100,7B,2048,0.0005,4096,1,0.9539,0.3763,1827.5956
A100,7B,2048,0.0005,4096,2,0.8879,0.3691,1734.3638
A100,7B,2048,0.0005,4096,3,0.8124,0.3127,1872.8244
A100,7B,4096,1e-05,512,1,0.1738,0.0679,9413.8636
A100,7B,4096,1e-05,512,2,0.1931,0.0784,9047.3121
A100,7B,4096,1e-05,512,3,0.1915,0.0734,9596.3069
A100,7B,4096,1e-05,1024,1,0.2363,0.0947,6487.4407
A100,7B,4096,1e-05,1024,2,0.2609,0.1058,6409.6836
A100,7B,4096,1e-05,1024,3,0.2766,0.1111,6471.1816
A100,7B,4096,1e-05,2048,1,0.3922,0.158,4563.4138
A100,7B,4096,1e-05,2048,2,0.3879,0.1519,4694.0261
A100,7B,4096,1e-05,2048,3,0.3744,0.1507,4567.8282
A100,7B,4096,1e-05,4096,1,0.5563,0.2199,3287.8464
A100,7B,4096,1e-05,4096,2,0.5483,0.2176,3275.1293
A100,7B,4096,1e-05,4096,3,0.5312,0.2178,3170.1194
A100,7B,4096,5e-05,512,1,0.1417,0.0545,9561.4724
A100,7B,4096,5e-05,512,2,0.1457,0.0542,9881.3663
A100,7B,4096,5e-05,512,3,0.152,0.0622,8987.5203
A100,7B,4096,5e-05,1024,1,0.2194,0.0883,6459.6893
A100,7B,4096,5e-05,1024,2,0.2347,0.0976,6249.1133
A100,7B,4096,5e-05,1024,3,0.2218,0.0923,6244.4473
A100,7B,4096,5e-05,2048,1,0.3162,0.1233,4713.1981
A100,7B,4096,5e-05,2048,2,0.3054,0.1167,4808.3621
A100,7B,4096,5e-05,2048,3,0.3008,0.119,4644.6796
A100,7B,4096,5e-05,4096,1,0.463,0.1948,3089.5191
A100,7B,4096,5e-05,4096,2,0.4144,0.1677,3211.1666
A100,7B,4096,5e-05,4096,3,0.422,0.1712,3203.3904
A100,7B,4096,0.0001,512,1,0.1501,0.0568,9723.6812
A100,7B,4096,0.0001,512,2,0.1582,0.0621,9359.4613
A100,7B,4096,0.0001,512,3,0.1471,0.057,9494.2828
A100,7B,4096,0.0001,1024,1,0.2067,0.0838,6415.6631
A100,7B,4096,0.0001,1024,2,0.2117,0.0855,6434.5752
A100,7B,4096,0.0001,1024,3,0.2176,0.0905,6250.3801
A100,7B,4096,0.0001,2048,1,0.2971,0.1136,4807.8068
A100,7B,4096,0.0001,2048,2,0.3184,0.1261,4640.946
A100,7B,4096,0.0001,2048,3,0.3191,0.1291,4542.5482
A100,7B,4096,0.0001,4096,1,0.4247,0.1716,3215.3663
A100,7B,4096,0.0001,4096,2,0.4692,0.1994,3058.44
A100,7B,4096,0.0001,4096,3,0.429,0.1724,3233.4704
A100,7B,4096,0.0005,512,1,0.1825,0.0712,9428.7937
A100,7B,4096,0.0005,512,2,0.1761,0.0704,9196.7224
A100,7B,4096,0.0005,512,3,0.1759,0.0686,9425.2276
A100,7B,4096,0.0005,1024,1,0.2255,0.0846,6928.9256
A100,7B,4096,0.0005,1024,2,0.2313,0.0912,6588.6811
A100,7B,4096,0.0005,1024,3,0.2414,0.1022,6141.1163
A100,7B,4096,0.0005,2048,1,0.3656,0.142,4731.3532
A100,7B,4096,0.0005,2048,2,0.3525,0.1393,4651.6004
A100,7B,4096,0.0005,2048,3,0.3415,0.1374,4569.3887
A100,7B,4096,0.0005,4096,1,0.5051,0.2,3282.4172
A100,7B,4096,0.0005,4096,2,0.516,0.1993,3364.263
A100,7B,4096,0.0005,4096,3,0.4901,0.2113,3014.1187
A100,7B,8192,1e-05,512,1,0.106,0.0442,15881.3954
A100,7B,8192,1e-05,512,2,0.1053,0.0428,16280.5772
A100,7B,8192,1e-05,512,3,0.1045,0.0416,16649.3541
A100,7B,8192,1e-05,1024,1,0.1424,0.0577,11563.413
A100,7B,8192,1e-05,1024,2,0.1419,0.0579,11483.3903
A100,7B,8192,1e-05,1024,3,0.1563,0.0632,11585.2943
A100,7B,8192,1e-05,2048,1,0.2066,0.0838,8170.841
A100,7B,8192,1e-05,2048,2,0.2064,0.0849,8056.0159
A100,7B,8192,1e-05,2048,3,0.1904,0.0754,8366.3537
A100,7B,8192,1e-05,4096,1,0.2669,0.102,6131.3448
A100,7B,8192,1e-05,4096,2,0.3167,0.1301,5703.1807
A100,7B,8192,1e-05,4096,3,0.2858,0.1092,6132.7784
A100,7B,8192,5e-05,512,1,0.0744,0.0293,16838.793
A100,7B,8192,5e-05,512,2,0.0979,0.0397,16350.9161
A100,7B,8192,5e-05,512,3,0.0849,0.0344,16336.308
A100,7B,8192,5e-05,1024,1,0.1138,0.0451,11818.0995
A100,7B,8192,5e-05,1024,2,0.1241,0.0495,11743.018
A100,7B,8192,5e-05,1024,3,0.1284,0.0519,11592.8232
A100,7B,8192,5e-05,2048,1,0.1805,0.0707,8456.7614
A100,7B,8192,5e-05,2048,2,0.1825,0.0766,7896.2448
A100,7B,8192,5e-05,2048,3,0.1662,0.0647,8508.7138
A100,7B,8192,5e-05,4096,1,0.2634,0.1048,5890.1542
A100,7B,8192,5e-05,4096,2,0.2643,0.1043,5935.1381
A100,7B,8192,5e-05,4096,3,0.2649,0.1064,5833.3328
A100,7B,8192,0.0001,512,1,0.0849,0.0356,15821.5508
A100,7B,8192,0.0001,512,2,0.0823,0.032,17045.4956
A100,7B,8192,0.0001,512,3,0.082,0.0332,16342.4711
A100,7B,8192,0.0001,1024,1,0.1093,0.0446,11492.894
A100,7B,8192,0.0001,1024,2,0.1154,0.0477,11322.7922
A100,7B,8192,0.0001,1024,3,0.1044,0.0408,11995.7489
A100,7B,8192,0.0001,2048,1,0.1536,0.0599,8492.6251
A100,7B,8192,0.0001,2048,2,0.1698,0.0675,8326.8914
A100,7B,8192,0.0001,2048,3,0.1656,0.0659,8321.8608
A100,7B,8192,0.0001,4096,1,0.2396,0.0929,6039.0611
A100,7B,8192,0.0001,4096,2,0.2455,0.1002,5742.1882
A100,7B,8192,0.0001,4096,3,0.2417,0.0983,5760.171
A100,7B,8192,0.0005,512,1,0.0975,0.0414,15611.1441
A100,7B,8192,0.0005,512,2,0.0957,0.0379,16718.2557
A100,7B,8192,0.0005,512,3,0.0925,0.0358,17093.5911
A100,7B,8192,0.0005,1024,1,0.1274,0.0496,12033.5471
A100,7B,8192,0.0005,1024,2,0.1354,0.0547,11596.3871
A100,7B,8192,0.0005,1024,3,0.1363,0.0532,11988.0027
A100,7B,8192,0.0005,2048,1,0.2008,0.0821,8102.3891
A100,7B,8192,0.0005,2048,2,0.1907,0.0748,8447.5864
A100,7B,8192,0.0005,2048,3,0.1975,0.0794,8235.6767
A100,7B,8192,0.0005,4096,1,0.2521,0.1006,5868.3107
A100,7B,8192,0.0005,4096,2,0.2754,0.1072,6018.7951
A100,7B,8192,0.0005,4096,3,0.2744,0.105,6123.6056
A100,70B,256,1e-05,512,1,53.1876,19.0356,194.5931
A100,70B,256,1e-05,512,2,49.2272,17.1676,199.7009
A100,70B,256,1e-05,512,3,43.8492,14.6023,209.1333
A100,70B,256,1e-05,1024,1,69.4723,24.2056,141.3399
A100,70B,256,1e-05,1024,2,73.0266,27.8648,129.0607
A100,70B,256,1e-05,1024,3,66.36,23.2894,140.3192
A100,70B,256,1e-05,2048,1,100.8873,40.0306,87.7603
A100,70B,256,1e-05,2048,2,93.619,35.6987,91.3199
A100,70B,256,1e-05,2048,3,108.7938,39.1371,96.7988
A100,70B,256,1e-05,4096,1,131.9835,52.1225,62.3496
A100,70B,256,1e-05,4096,2,137.3455,56.2775,60.0923
A100,70B,256,1e-05,4096,3,142.7199,54.0481,65.0194
A100,70B,256,5e-05,512,1,42.6026,14.4424,205.4378
A100,70B,256,5e-05,512,2,44.1788,14.9539,205.7522
A100,70B,256,5e-05,512,3,40.2103,14.0969,198.6535
A100,70B,256,5e-05,1024,1,60.976,22.2465,134.9793
A100,70B,256,5e-05,1024,2,53.7853,19.6752,134.6209
A100,70B,256,5e-05,1024,3,55.698,20.1928,135.8351
A100,70B,256,5e-05,2048,1,77.1514,29.5922,90.7865
A100,70B,256,5e-05,2048,2,79.7145,29.0103,95.6839
A100,70B,256,5e-05,2048,3,86.0292,32.7974,91.34
A100,70B,256,5e-05,4096,1,113.8648,47.5288,58.9891
A100,70B,256,5e-05,4096,2,114.8828,45.9974,61.498
A100,70B,256,5e-05,4096,3,119.0505,46.7349,62.7232
A100,70B,256,0.0001,512,1,40.8249,13.8584,205.1617
A100,70B,256,0.0001,512,2,39.0644,14.0274,193.9499
A100,70B,256,0.0001,512,3,37.8102,12.0996,217.6313
A100,70B,256,0.0001,1024,1,60.9498,23.62,127.0751
A100,70B,256,0.0001,1024,2,55.2634,18.7388,145.2326
A100,70B,256,0.0001,1024,3,55.5308,19.8194,137.9786
A100,70B,256,0.0001,2048,1,79.0132,28.9069,95.1813
A100,70B,256,0.0001,2048,2,82.0823,31.5563,90.5769
A100,70B,256,0.0001,2048,3,73.8102,28.5225,90.1119
A100,70B,256,0.0001,4096,1,124.3913,50.0132,61.2413
A100,70B,256,0.0001,4096,2,110.9101,44.175,61.8206
A100,70B,256,0.0001,4096,3,116.2833,44.0983,64.9283
A100,70B,256,0.0005,512,1,46.088,15.7132,204.2712
A100,70B,256,0.0005,512,2,49.9357,17.1368,202.9388
A100,70B,256,0.0005,512,3,49.5245,16.5192,208.792
A100,70B,256,0.0005,1024,1,66.5452,24.1858,135.4955
A100,70B,256,0.0005,1024,2,61.8379,22.3801,136.0697
A100,70B,256,0.0005,1024,3,68.5663,24.4441,138.1356
A100,70B,256,0.0005,2048,1,83.6903,31.6594,92.0506
A100,70B,256,0.0005,2048,2,87.2994,32.7027,92.9568
A100,70B,256,0.0005,2048,3,91.0517,32.6989,96.9637
A100,70B,256,0.0005,4096,1,118.8492,48.2272,60.6797
A100,70B,256,0.0005,4096,2,125.9147,46.4906,66.6884
A100,70B,256,0.0005,4096,3,134.3677,54.1863,61.0583
A100,70B,512,1e-05,512,1,26.6725,9.2624,361.491
A100,70B,512,1e-05,512,2,28.8156,10.5274,343.6091
A100,70B,512,1e-05,512,3,30.9548,11.3328,342.888
A100,70B,512,1e-05,1024,1,39.8751,14.9405,236.9086
A100,70B,512,1e-05,1024,2,40.7143,15.6192,231.3832
A100,70B,512,1e-05,1024,3,41.5649,15.4073,239.4674
A100,70B,512,1e-05,2048,1,54.1151,21.0715,161.1958
A100,70B,512,1e-05,2048,2,57.5068,23.7399,152.0444
A100,70B,512,1e-05,2048,3,54.0503,21.081,160.9297
A100,70B,512,1e-05,4096,1,79.4621,31.5505,111.7811
A100,70B,512,1e-05,4096,2,81.9577,30.5685,118.9955
A100,70B,512,1e-05,4096,3,74.9997,29.2957,113.624
A100,70B,512,5e-05,512,1,20.3682,7.1512,357.5467
A100,70B,512,5e-05,512,2,21.9871,7.9015,349.3178
A100,70B,512,5e-05,512,3,24.3237,8.7295,349.7819
A100,70B,512,5e-05,1024,1,30.9061,11.6184,236.1256
A100,70B,512,5e-05,1024,2,34.2949,12.5363,242.832
A100,70B,512,5e-05,1024,3,31.102,11.9083,231.8374
A100,70B,512,5e-05,2048,1,45.5725,18.3536,155.8516
A100,70B,512,5e-05,2048,2,46.0515,18.5761,155.6035
A100,70B,512,5e-05,2048,3,43.698,17.2571,158.9366
A100,70B,512,5e-05,4096,1,64.4846,24.853,115.1575
A100,70B,512,5e-05,4096,2,60.0764,24.5249,108.7203
A100,70B,512,5e-05,4096,3,64.0275,24.8256,114.4675
A100,70B,512,0.0001,512,1,22.0214,8.2312,335.8451
A100,70B,512,0.0001,512,2,19.6044,6.7697,363.5326
A100,70B,512,0.0001,512,3,21.1067,7.9656,332.6294
A100,70B,512,0.0001,1024,1,31.7356,12.2257,230.4181
A100,70B,512,0.0001,1024,2,29.5094,10.7391,243.9143
A100,70B,512,0.0001,1024,3,31.9941,12.069,235.3108
A100,70B,512,0.0001,2048,1,45.4698,17.8622,159.7785
A100,70B,512,0.0001,2048,2,44.871,17.8108,158.1288
A100,70B,512,0.0001,2048,3,45.9766,18.6033,155.1234
A100,70B,512,0.0001,4096,1,57.5177,21.456,118.9782
A100,70B,512,0.0001,4096,2,65.7216,27.2254,107.1394
A100,70B,512,0.0001,4096,3,59.393,22.4317,117.5136
A100,70B,512,0.0005,512,1,25.4861,9.4718,337.7778
A100,70B,512,0.0005,512,2,27.6399,10.1479,341.9144
A100,70B,512,0.0005,512,3,24.8891,8.7575,356.7696
A100,70B,512,0.0005,1024,1,35.8857,13.3921,237.8577
A100,70B,512,0.0005,1024,2,34.0449,13.6082,222.073
A100,70B,512,0.0005,1024,3,39.0664,15.2126,227.9532
A100,70B,512,0.0005,2048,1,48.3857,19.6056,154.9055
A100,70B,512,0.0005,2048,2,52.3431,20.9532,156.7972
A100,70B,512,0.0005,2048,3,53.8902,21.6957,155.9072
A100,70B,512,0.0005,4096,1,74.3844,30.3223,108.8766
A100,70B,512,0.0005,4096,2,72.9526,27.6196,117.2297
A100,70B,512,0.0005,4096,3,72.0302,28.3313,112.8398
A100,70B,1024,1e-05,512,1,14.3632,5.8085,559.5248
A100,70B,1024,1e-05,512,2,16.6718,6.68,564.7277
A100,70B,1024,1e-05,512,3,15.541,6.2254,564.8676
A100,70B,1024,1e-05,1024,1,21.7145,8.7386,397.5811
A100,70B,1024,1e-05,1024,2,20.5149,8.3037,395.2922
A100,70B,1024,1e-05,1024,3,21.7669,8.3665,416.2676
A100,70B,1024,1e-05,2048,1,30.6118,12.2154,283.5209
A100,70B,1024,1e-05,2048,2,33.4488,13.7384,275.4533
A100,70B,1024,1e-05,2048,3,30.708,12.3749,280.7473
A100,70B,1024,1e-05,4096,1,43.4987,17.2936,201.2249
A100,70B,1024,1e-05,4096,2,41.0538,16.3471,200.9104
A100,70B,1024,1e-05,4096,3,41.7836,16.0865,207.7943
A100,70B,1024,5e-05,512,1,13.1098,5.1063,580.9364
A100,70B,1024,5e-05,512,2,11.6411,4.4651,589.9266
A100,70B,1024,5e-05,512,3,13.4195,5.3304,569.6536
A100,70B,1024,5e-05,1024,1,19.0052,7.611,399.5336
A100,70B,1024,5e-05,1024,2,17.3141,6.7005,413.4414
A100,70B,1024,5e-05,1024,3,18.3895,7.4395,395.4998
A100,70B,1024,5e-05,2048,1,27.2117,11.2439,273.8072
A100,70B,1024,5e-05,2048,2,25.3971,9.7796,293.8095
A100,70B,1024,5e-05,2048,3,25.1582,10.1289,281.0114
A100,70B,1024,5e-05,4096,1,35.7906,14.068,203.5285
A100,70B,1024,5e-05,4096,2,36.6131,14.4238,203.0702
A100,70B,1024,5e-05,4096,3,35.0205,14.1391,198.1486
A100,70B,1024,0.0001,512,1,12.0294,4.665,583.4824
A100,70B,1024,0.0001,512,2,12.4439,4.6269,608.5576
A100,70B,1024,0.0001,512,3,11.9808,4.8113,563.4518
A100,70B,1024,0.0001,1024,1,16.3524,6.1256,427.1221
A100,70B,1024,0.0001,1024,2,15.7449,6.3035,399.651
